0.4834361357,(relationshipended),man_109,109,0,53.1730825196,woman_235,235,1,33.8128523345,formationtime,0.1838823504,relationage,0.2995537853
0.5000000000,periodiclogging,(none),-1,-1,-1.0000000000,(none),-1,-1,-1.0000000000
0.5390987277,formation,man_6,6,0,25.3881035846,woman_277,277,1,19.1669289813
0.5397413588,formation,man_178,178,0,43.9793486608,woman_349,349,1,33.3344243125
0.5452932279,formation,man_118,118,0,25.7070594412,woman_267,267,1,18.7664040515
0.5647861736,debut,man_169,169,0,15.0000000000,(none),-1,-1,-1.0000000000
0.5942451809,debut,man_79,79,0,15.0000000000,(none),-1,-1,-1.0000000000
0.6199915879,debut,man_164,164,0,15.0000000000,(none),-1,-1,-1.0000000000
0.6208238148,normalmortality,woman_273,273,1,71.3749930200,(none),-1,-1,-1.0000000000
0.6346491840,formation,man_13,13,0,25.2249858946,woman_262,262,1,17.2564688819
0.6385189443,formation,man_126,126,0,34.9237281819,woman_307,307,1,30.8084518029
0.7036757846,formation,man_6,6,0,25.5526806415,woman_317,317,1,19.4345087084
0.7088587389,dissolution,man_3,3,0,28.7209531254,woman_306,306,1,24.5025266259
0.7088587389,(relationshipended),man_3,3,0,28.7209531254,woman_306,306,1,24.5025266259,formationtime,0.0040399520,relationage,0.7048187869
0.7182072162,debut,man_119,119,0,15.0000000000,(none),-1,-1,-1.0000000000
0.7388303186,debut,woman_286,286,1,15.0000000000,(none),-1,-1,-1.0000000000
0.7437792073,formation,man_154,154,0,43.5416800214,woman_202,202,1,37.2254256717
0.7500000000,periodiclogging,(none),-1,-1,-1.0000000000,(none),-1,-1,-1.0000000000
0.8467031646,formation,man_97,97,0,21.3037769703,woman_387,387,1,19.6963531514
0.8649815423,normalmortality,woman_374,374,1,52.5918567624,(none),-1,-1,-1.0000000000
0.8871406349,debut,woman_228,228,1,15.0000000000,(none),-1,-1,-1.0000000000
0.8876575675,debut,woman_221,221,1,15.0000000000,(none),-1,-1,-1.0000000000
0.8929116462,formation,man_94,94,0,15.6945310700,woman_228,228,1,15.0057710113
0.8977507515,formation,man_120,120,0,29.9736502552,woman_250,250,1,30.6070791120
0.9131539836,formation,man_77,77,0,26.7448685610,woman_376,376,1,20.1397506139
0.9155823974,formation,man_69,69,0,68.3594181448,woman_288,288,1,45.3339722356
0.9190497557,formation,man_132,132,0,23.0666668036,woman_228,228,1,15.0319091208
0.9194878151,formation,man_84,84,0,40.6287372233,woman_355,355,1,32.9777384706
0.9513525616,debut,woman_375,375,1,15.0000000000,(none),-1,-1,-1.0000000000
