id,conception_alpha_base,conception_alpha_base_1,conception_alpha_base_2,diagnosis_baseline_t0,diagnosis_baseline_t1,diagnosis_baseline_t2,diagnosis_baseline_t3,diagnosis_baseline_t4,diagnosis_baseline_t5,diagnosis_eagernessfactor,dissolution_alpha_0,formation_hazard_agegapry_baseline,formation_hazard_agegapry_gap_agescale_man,formation_hazard_agegapry_gap_agescale_woman,formation_hazard_agegapry_gap_factor_man_woman_exp,formation_hazard_agegapry_numrel_man,formation_hazard_agegapry_numrel_woman,hivtransmission_param_a,hivtransmission_param_f1,person_eagerness_man_dist_gamma_a,person_eagerness_man_dist_gamma_b,person_eagerness_woman_dist_gamma_a,person_eagerness_woman_dist_gamma_b
272,-2.955145655422609,0.38037318371166273,0.35741813678071005,-1.8060136186527462,0.2665722461944402,0.08073303929187088,0.3658280738028338,0.6760674602787783,0.4628316240355226,1.0274378719407897,-2.2032034497343336,2.247454273998324,0.04174210892308988,0.06047848264017684,-1.4523471664429837,-0.5691760486544958,-0.4836540718701533,-2.184674331063267,2.9984299366241047,0.7414410104865938,48.35923157627606,0.2638950132575463,39.36037902450844
273,-2.948532715981741,0.44788797666055546,0.3864400909049969,-1.7804538833138221,0.28285532946046,0.1187639265346721,0.3434474393868064,0.5855312407064398,0.42031056908528763,1.034352311587851,-2.1151173925527176,2.2375467956883854,0.033389120113259244,0.04333437723059458,-1.1986529673157054,-0.6933831237337723,-0.501431952419787,-2.20222384277886,3.027476408221983,0.7193386580071764,49.63609888257486,0.28628231071498694,34.785279619250595
274,-2.958493229610133,0.3495512237094543,0.33413515481523126,-1.7904513128126296,0.2673718905702003,0.08805577761963931,0.3659760556136062,0.6974808889480324,0.4540339683411798,1.0275929129540033,-2.108204795947716,1.9722069384668548,0.0370134061661099,0.05236892416723348,-1.5061385592549723,-0.44007645405207463,-0.5754998183460168,-2.1078188518112304,2.9670712331114033,0.7532178989534724,45.29863166268984,0.24536799799863573,37.352328879565
275,-2.955598843075712,0.36989484786202087,0.3485281804051074,-1.813497632812387,0.2591482469021338,0.07657111266442572,0.3861642119303625,0.7172246072675612,0.46942742845767843,1.0272610581140362,-2.1882306042754154,2.226979957279041,0.0423177692467341,0.06150182433844081,-1.4833111924573132,-0.47281238120627556,-0.5093979932731589,-2.1670185174830445,2.965658469328774,0.7532331427415301,47.681073759774044,0.24767029899674295,37.918217026102525
276,-2.9525557001645946,0.4069079690158044,0.36875540016284325,-1.795603967751149,0.27383872746204746,0.09551059975471503,0.3549090954961914,0.6366932745655429,0.4459689942204772,1.0300138328935542,-2.171581161516537,2.242469309912161,0.038855289658568694,0.05390671283842568,-1.3558497565667855,-0.6279912364504256,-0.48797353725115417,-2.192724660422863,3.012073469982587,0.7310079890150237,48.912507192869995,0.2744145806751501,37.955351560726164
277,-2.958584732344762,0.3499166151285549,0.33978788168525836,-1.7989422450476118,0.26595571354340386,0.07873375832546574,0.36386711557384904,0.6953952900786182,0.46408565894914783,1.0261530047954166,-2.1665022501669524,2.0832802703125224,0.04010394050034233,0.05859878621262335,-1.528602493226845,-0.49244365385456373,-0.5293216004373802,-2.1382376148044084,2.9839234195624647,0.750159628745513,46.36527312690135,0.25268619663856956,39.44493751891975
278,-2.954455984122716,0.38994287797634436,0.3615393205034535,-1.7975107780710458,0.2714699363609823,0.08890761609448775,0.356012496651036,0.6522615891477335,0.4531099064741054,1.0286076232457848,-2.1812089448850873,2.214841343844426,0.03952984142776478,0.056368268940454755,-1.4101049757395772,-0.600874594661031,-0.4906861967193904,-2.182640802024419,3.0096802240740526,0.7361807423054922,48.35294155038793,0.2697801803578243,38.79014124086496
279,-2.9562046787338723,0.36919069164831037,0.34809141182160297,-1.802431495538887,0.2644665951821863,0.08325619995706053,0.3727044989892363,0.6953994243776545,0.4607237649601945,1.027779800870352,-2.1621714699266685,2.150721339383271,0.03968788440153557,0.05739567555830048,-1.4683922697494929,-0.49433741793025454,-0.5241063439161505,-2.1538164357538845,2.9782993710899865,0.7496634103639885,47.14512031493212,0.25228927374165744,37.794296104185534
280,-2.953232591001709,0.3948276692133737,0.3611644025649401,-1.8064036097546459,0.26522839548074995,0.0876054051278111,0.3757755514020126,0.6807084915439068,0.45675087757863525,1.0292746401081052,-2.175914449305238,2.258045574121329,0.04035866647206027,0.05722753815266502,-1.3983892511870408,-0.5413497384376849,-0.4997678797473328,-2.1837484882188978,2.9833245762901766,0.7431569691929875,48.51533407317654,0.2593418146032972,37.10727369392391
281,-2.9503313935133577,0.4266886000523144,0.37820449174072895,-1.7958231268665596,0.27473406112029775,0.10162276026629502,0.35723946640917165,0.6252856957845639,0.43995658112282116,1.0316157807982937,-2.1663270906534806,2.2978393273474946,0.03803740609504563,0.05198471087515786,-1.291918216969934,-0.6511669578426906,-0.4808210890769857,-2.2081903411341046,3.013649311080633,0.7274854138966448,49.678326223833686,0.2780336960335136,36.70008111702505
282,-2.9546020855377106,0.3887923598218376,0.3586631749604715,-1.791518562363923,0.272542881421493,0.09469169943072506,0.3558234768725188,0.6519475336709937,0.44660339458708753,1.0294253093644836,-2.1460410364422935,2.1459053137997555,0.03725235397493274,0.0525412639648234,-1.396131972142148,-0.5714488851921704,-0.518229658040824,-2.163704424636349,3.0014512105183413,0.738248192834224,47.659553811892955,0.26594356996357427,37.51508969539563
283,-2.957621773460646,0.36216912637020887,0.3496950403320572,-1.7985564636808147,0.27035229749891354,0.07860750087362588,0.3512020631141839,0.6657760659709445,0.4630795753846388,1.0260112965321249,-2.2010151496502934,2.158877474967557,0.041355564851221244,0.06032769438443974,-1.504828878250731,-0.5829062139646088,-0.49081878509535914,-2.1670619744526514,3.011236622389586,0.7397292982074745,47.49673273450558,0.26708784180224315,41.10538649218532
284,-2.952343966727501,0.40814471088685444,0.3664809352115845,-1.7923678906262293,0.2728463481769757,0.10060426988956298,0.36042768726574304,0.6447790430878991,0.4413333766716269,1.0311013515338625,-2.1373645452862826,2.19434365152034,0.036617301201770876,0.05045460271785814,-1.3350453730750924,-0.5846749047456136,-0.5147054211077595,-2.1771106240969833,3.0000413563575474,0.7357397279429602,48.35716195564722,0.2675640137436628,36.10718395039234
285,-2.9543722451557,0.3856004618358435,0.3568435096027826,-1.8032355869575665,0.2671801352513648,0.08626420057559385,0.3688776540961734,0.6758039510341921,0.45700584015960094,1.0284746728098644,-2.1759101597910173,2.213819718352444,0.04059820932911471,0.05736780796872234,-1.42776528905685,-0.5481628343458168,-0.5034109916087888,-2.1747986748778074,2.987736637045801,0.7416047637641321,48.09958934974096,0.26106281007676907,38.14323031276601
286,-2.954286737165759,0.3851349788579956,0.3603322898585623,-1.8148751302665962,0.26252012919178874,0.07625580023331413,0.3762324423597742,0.6902429229722445,0.4691031700012389,1.0273164997645359,-2.2260849651216055,2.325791707481225,0.04357507469262712,0.06358827537513419,-1.4505476963026593,-0.561714785364632,-0.46710465157009984,-2.2006102195167805,2.9919963008355523,0.7436808382300638,49.00687219371805,0.2615273165362471,39.26370385153196
287,-2.9586564682752754,0.3498663297800388,0.3453412873683727,-1.8109669324952653,0.26246359436598815,0.0667313960991171,0.3661549056007615,0.7018219709611072,0.4779420434373776,1.0245439842538746,-2.2341415272034455,2.219652001707687,0.043788032204308006,0.06624118429903986,-1.5565404650169952,-0.5369291023937364,-0.4770127677174424,-2.173679720050824,2.9995365739684976,0.7494306016382065,47.59514297589711,0.25787600947271805,41.495790576350366
288,-2.9500375144288116,0.42838744978956095,0.37516674259610605,-1.7899291517324147,0.2756583134702409,0.10889637583222042,0.359429178225159,0.6263859907142844,0.43220623530221913,1.032820528908281,-2.1238143966275946,2.2248285196505657,0.03571176323531023,0.04734789745036244,-1.269181765213655,-0.6141467057879042,-0.5135947066324545,-2.1878009101538574,3.0010546887737193,0.7295812644596726,48.98730375467,0.2728795495226476,35.01974813529988
289,-2.959732636345246,0.3395018220912752,0.3306198980755798,-1.790719436732775,0.2675283401245408,0.08373324329170427,0.361996280482676,0.6988640072321337,0.4580463518753106,1.0264829527758381,-2.121292058028689,1.9592649213123696,0.03787939432110767,0.0542490925482988,-1.5422748864626994,-0.44546004688951224,-0.5699782776941295,-2.105307124183918,2.971853327253131,0.753369276742758,45.0891749209963,0.24630214142398152,38.53977707763035
290,-2.9510969349518223,0.41950340683407367,0.3734754971474985,-1.7939271370001817,0.27445444230069854,0.10166844277552779,0.3576752333961405,0.6311879765290057,0.4397897404315098,1.031421205648327,-2.1535205190551636,2.252276710437834,0.03750813600457118,0.05116625374118846,-1.3086981950136085,-0.6270506531180116,-0.4951917717817066,-2.1950548232067217,3.0080744684490925,0.7300023982604806,49.135407415352084,0.27444007332536047,36.53555746233481
291,-2.9518732944142285,0.40526808805905307,0.3679276522345239,-1.8137978390468725,0.26352832816087046,0.0845154038252722,0.3804598388257887,0.6809573545094484,0.4608806625842131,1.0292856524896548,-2.2063352735703563,2.3549273186688717,0.04236034640885127,0.06023508748594778,-1.3823042186306391,-0.5688354770170011,-0.4722610220860188,-2.208487444422227,2.98682592591328,0.7407165434506022,49.534364276998424,0.26279456468186635,37.508999551857144
